timestamp,epoch,avg_loss,val_loss
2025-12-06 06:54:12,1,5.192548,4.953118
2025-12-06 06:54:14,2,4.644598,4.833515
2025-12-06 06:54:16,3,4.468945,4.790031
2025-12-06 06:54:17,4,4.349322,4.735228
2025-12-06 06:54:19,5,4.184213,4.675334
2025-12-06 06:54:21,6,4.019743,4.585826
2025-12-06 06:54:23,7,3.936838,4.507926
2025-12-06 06:54:25,8,3.758842,4.445092
2025-12-06 06:54:27,9,3.720080,4.463592
2025-12-06 06:54:29,10,3.511468,4.391484
2025-12-06 06:54:31,11,3.396320,4.346542
2025-12-06 06:54:33,12,3.314909,4.470200
2025-12-06 06:54:34,13,3.191813,4.245500
2025-12-06 06:54:36,14,3.014717,4.129643
2025-12-06 06:54:38,15,2.921493,4.012362
2025-12-06 06:54:40,16,2.784084,4.095382
2025-12-06 06:54:42,17,2.678422,4.068295
2025-12-06 06:54:44,18,2.606464,4.174336
2025-12-06 06:54:46,19,2.523749,4.153810
2025-12-06 06:54:47,20,2.413360,4.190565
2025-12-06 06:54:49,21,2.338010,4.317193
2025-12-06 06:54:51,22,2.277011,4.322100
2025-12-06 06:54:53,23,2.198790,4.360817
2025-12-06 06:54:55,24,2.127955,4.418959
2025-12-06 06:54:57,25,2.053337,4.535340
2025-12-06 06:54:59,26,1.945127,4.557763
2025-12-06 06:55:00,27,1.881531,4.652287
2025-12-06 06:55:02,28,1.801905,4.761626
2025-12-06 06:55:04,29,1.751121,4.836634
2025-12-06 06:55:06,30,1.687145,4.892109
